"","dept_e","gender","Yes","No","Notsure","anscount","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Support to resolve pay or other compensation issues","Use of official languages","Work-life balance and workload","Work-related stress"
"23","Department of Finance Canada","Male",35,34,30,248,70.2,76.3636363636364,80.6666666666667,17.125,85.1666666666667,52,82.1428571428571,78,71.25,47,86.6666666666667,40.75,79.5,26.8888888888889,26.6666666666667,78.6666666666667,79.6666666666667,80.25,34,76,63.75,13.4074074074074
"24","Department of Justice","Male",21,43,36,851,74.6,81.3636363636364,59.5,23.6,81.3333333333333,52.1666666666667,78.4285714285714,73.5,67.75,31.92,83.3333333333333,37.25,80.5,31.4444444444444,32.6666666666667,76,76.3333333333333,69.25,21,87.5,60.75,16.2592592592593
"25","Department of National Defence","Male",21,50,29,7319,70.2,73.4545454545455,61.5,18.75,76.6666666666667,50.1666666666667,74.7142857142857,69,65.75,24.0851063829787,76.3333333333333,33.5,73,34.7777777777778,30.3333333333333,68,77.3333333333333,58.25,27.5,77,68,12.7407407407407
"26","Employment and Social Development Canada","Male",30,34,36,5633,75.8,79.4545454545455,61.75,18.5555555555556,84.3333333333333,52.8333333333333,75.5714285714286,68,71.75,23.4042553191489,80.6666666666667,38.5,79.5,31.6666666666667,32,74.6666666666667,84,69.5,29,86,66,14
"27","Environment and Climate Change Canada","Male",24,41,34,1932,77,78.2727272727273,62.5,24.1818181818182,84.5,49.5,77.8571428571429,74.5,73.5,24.0681818181818,83.6666666666667,36.875,76,32.8888888888889,29.3333333333333,77,78.6666666666667,63.5,23.5,84.5,68.75,13.2962962962963
"28","Federal Economic Development Agency for Southern Ontario","Male",37,21,42,97,79.4,88.5454545454545,87.6666666666667,57.6666666666667,91.6666666666667,36.6666666666667,79.7142857142857,85.5,77,54.6666666666667,88.3333333333333,40.625,91.5,33.4444444444444,30,80.3333333333333,89,80,38.5,80,69,13.7407407407407
"29","Financial Consumer Agency of Canada","Male",35,34,31,62,82.2,86.0909090909091,82.3333333333333,77.5,91.5,37,84.1428571428571,84.75,74.5,77.5,90,37.625,88.5,27.1111111111111,29,84.6666666666667,86.3333333333333,76,36.5,84.5,70.75,10.8148148148148
"30","Fisheries and Oceans Canada","Male",24,45,31,3013,66,67.0909090909091,61.5,19.8421052631579,77.5,48.3333333333333,73.7142857142857,69.25,62,25.6222222222222,76.3333333333333,36.625,71.5,35.8888888888889,34.3333333333333,67.3333333333333,78.3333333333333,54,28,76,58.5,15.2962962962963
"31","Global Affairs Canada","Male",38,33,29,1844,68,74.1818181818182,60.5,20.4642857142857,79.8333333333333,49.3333333333333,72.8571428571429,72.5,64.75,24.5111111111111,82.6666666666667,31.625,75,35.7777777777778,32,72.3333333333333,74,59.25,26.5,79.5,63.5,16.6666666666667
"32","Health Canada","Male",24,37,39,1613,76.4,81,60.5,22.027027027027,84.8333333333333,52,77.8571428571429,74.5,69,24.4772727272727,83.3333333333333,36.75,81,31.7777777777778,28.6666666666667,77.6666666666667,79.6666666666667,68.25,27.5,86,69.25,13.5185185185185
"33","Immigration and Refugee Board of Canada","Male",21,39,39,343,74.8,79.2727272727273,82.6666666666667,22.7857142857143,85.5,56.3333333333333,76,72.25,72.25,32.6666666666667,84.3333333333333,36.25,80,29,33.3333333333333,76.6666666666667,80.3333333333333,65,31,89.5,62.5,14.4074074074074
"34","Immigration, Refugees and Citizenship Canada","Male",29,35,37,1809,71.4,77.8181818181818,62.25,20.6585365853659,84.3333333333333,50.5,77.5714285714286,73.5,71,23.6739130434783,81.3333333333333,38.25,80.5,31.1111111111111,31,76,81,68.25,29.5,84.5,65,14.3333333333333
"35","Impact Assessment Agency of Canada","Male",29,34,37,120,80.8,83.4545454545455,86,73.5,88.3333333333333,46.2,82.8571428571429,83,74.25,75.5,87,38,85.5,32,28.6666666666667,81.3333333333333,78,72.75,46.5,87.5,71.25,13.3333333333333
"36","Indigenous Services Canada","Male",30,33,38,982,72.8,78.3636363636364,60.25,24.3142857142857,81.6666666666667,51.6666666666667,73.8571428571429,73.75,65.75,25.0888888888889,81.6666666666667,36.75,78.5,35.6666666666667,34.6666666666667,74.3333333333333,78.6666666666667,68.25,33,81,66.25,15.3333333333333
"37","Infrastructure Canada","Male",37,22,41,187,73.8,80.6363636363636,81.3333333333333,48.3333333333333,87,53.5,76.1428571428571,79.75,67.75,36.875,86.6666666666667,37.25,79.5,36.7777777777778,33,81,84.6666666666667,70,29,86.5,58.25,16.6296296296296
"38","Innovation, Science and Economic Development Canada","Male",25,42,33,1648,77.2,79.8181818181818,64.25,24.7272727272727,84.3333333333333,51.5,77.5714285714286,72.75,68.75,28.5357142857143,83,37.125,80,29.4444444444444,30.6666666666667,77,77.3333333333333,67,37,87,67,12.962962962963
"39","Library and Archives Canada","Male",17,49,34,225,69.6,76.8181818181818,76.6666666666667,19.7142857142857,81.5,50.6666666666667,74.8571428571429,71.75,64.5,30.7857142857143,80.3333333333333,33.875,76.5,30.2222222222222,29.3333333333333,74.3333333333333,74.6666666666667,57.75,36.5,92,70.25,12.8518518518519
"40","Micro-organizations combined","Male",27,36,37,347,79.6,86.0909090909091,80.3333333333333,26.3846153846154,85.8333333333333,52,81.1428571428571,79.5,75.5,38.55,84.3333333333333,37.5,84,23.3333333333333,31.3333333333333,79.3333333333333,85.3333333333333,75.75,49.5,88,71.75,10.3333333333333
"41","National Film Board of Canada","Male",18,56,26,121,69,83.8181818181818,88.6666666666667,63,85.8333333333333,48.2,82.8571428571429,76,69.5,40.6666666666667,87,30.25,75,23,31.6666666666667,75.6666666666667,85,52,48,91,78.25,9.14814814814815
"42","National Research Council Canada","Male",14,60,27,1504,75,82.1818181818182,64.5,30.5,83,47.3333333333333,81,75.25,66.25,30.0384615384615,81.3333333333333,34.75,79,28.2222222222222,24.6666666666667,73.3333333333333,82.6666666666667,68.75,44,80.5,66.25,11
"43","Natural Resources Canada","Male",24,43,33,1417,75.6,81.7272727272727,61.5,23.3939393939394,83.8333333333333,48.8333333333333,77.2857142857143,74.75,66.75,26.2558139534884,82,34.875,75.5,29.5555555555556,29.3333333333333,74,81.3333333333333,65.75,22,84,68,12.3703703703704
"44","Natural Sciences and Engineering Research Council of Canada","Male",29,43,28,130,81.2,83.6363636363636,83.3333333333333,49.3333333333333,87.6666666666667,55.6666666666667,79.5714285714286,76.5,70.25,47.6666666666667,87.3333333333333,37,80,26,31.3333333333333,75,82,74.5,66.5,90,70.25,12.1111111111111
"45","Office of the Auditor General of Canada","Male",16,48,36,171,80.2,86.1818181818182,72.3333333333333,49,86,54.5,79,75.5,76.5,23.9230769230769,81.6666666666667,38.5,85.5,27.2222222222222,7.5,75.6666666666667,82.3333333333333,74.5,NA,92,75.5,12.4814814814815
"46","Office of the Chief Electoral Officer","Male",28,35,37,250,73.4,82.6363636363636,80,21.8571428571429,87.3333333333333,51.6666666666667,80.7142857142857,79.75,74.25,39.6923076923077,83.6666666666667,38.875,85,27.1111111111111,35.3333333333333,80,81,75.5,41,90,67.75,11.4444444444444
"47","Office of the Commissioner of Official Languages","Male",33,33,33,54,75.2,83.2727272727273,69.6666666666667,54.5,83.5,43.2,76.7142857142857,73.75,67.25,60,88,31.875,84.5,31.6666666666667,15,79.3333333333333,87,65.25,NA,97,76,9.85185185185185
"48","Office of the Secretary to the Governor General","Male",17,58,25,45,73,83.4545454545455,77.3333333333333,63,83.8333333333333,37.6666666666667,79.5714285714286,81,60.75,35,80,35.125,76,36.3333333333333,37,77,89.3333333333333,58,64.5,94,72.5,10.1111111111111
"49","Parks Canada","Male",20,45,35,1395,70,70.3636363636364,60.75,25.5833333333333,77,43.3333333333333,76.7142857142857,71.75,62.75,31.8214285714286,77,34.5,73,34.7777777777778,34,68.3333333333333,78.3333333333333,57.5,22.5,76.5,64,13.8888888888889
"50","Privy Council Office","Male",37,29,34,327,75.2,77.9090909090909,80.3333333333333,36.8,84.6666666666667,49,80.4285714285714,78.75,67.75,35.5,82.6666666666667,36.75,80,27.2222222222222,28.6666666666667,75.3333333333333,79,74.75,37,80,62,13.3333333333333
"51","Public Health Agency of Canada","Male",30,31,39,358,70.6,75.0909090909091,76,30.5384615384615,78.8333333333333,53,71.2857142857143,69.75,64.75,40.6521739130435,78.6666666666667,36.375,72,38.8888888888889,30.6666666666667,69.6666666666667,77,60.25,31.5,77.5,61.25,17.9259259259259
"52","Public Prosecution Service of Canada","Male",15,52,33,192,74.8,82.7272727272727,82.6666666666667,18.75,82.1666666666667,55,77.2857142857143,73.75,73.5,34.7368421052632,81.3333333333333,38,82,27.6666666666667,29.6666666666667,74.6666666666667,71.3333333333333,73.25,27.5,84.5,63.5,17.3333333333333
"53","Public Safety Canada","Male",46,25,28,295,70.4,78.8181818181818,62.25,35.9285714285714,81.5,52.8333333333333,73.5714285714286,70.25,66.75,35.0952380952381,83.6666666666667,36.25,75,39.4444444444444,28.6666666666667,74.6666666666667,75.3333333333333,63,24,79,66.75,17.1111111111111
"54","Public Service","Male",24,42,34,73576,71.6,75.5454545454545,61,17.469387755102,79.8333333333333,50.8333333333333,74.1428571428571,69.5,66.75,24.0625,79.3333333333333,36.125,76,33.1111111111111,30.3333333333333,71.6666666666667,78.6666666666667,62,29,82,66.25,14.2222222222222
"55","Public Service Commission of Canada","Male",38,33,28,173,75.6,78.9090909090909,79.6666666666667,30.4,83.5,56.3333333333333,73.5714285714286,69.5,73.75,35.0714285714286,83.6666666666667,36.25,81,35.1111111111111,30.3333333333333,75,73.3333333333333,64.75,30,85,68,15.2592592592593
"56","Public Services and Procurement Canada","Male",26,42,33,3979,77.6,81.2727272727273,65.75,19.7441860465116,84.8333333333333,52.8333333333333,78,74,71.75,25.2826086956522,84,38,79,32.1111111111111,28.3333333333333,76.6666666666667,84.6666666666667,70.25,34,87.5,70,12.5185185185185
"57","Royal Canadian Mounted Police","Male",27,38,35,1050,72.2,74.5454545454545,60,25.0454545454545,77.1666666666667,51,75.7142857142857,73,63.5,26.452380952381,77,35.75,77.5,29.2222222222222,37,73,81.3333333333333,60.5,33.5,77.5,68.75,12.3703703703704
"58","Shared Services Canada","Male",24,39,37,2397,77.2,81.8181818181818,62.5,24.4166666666667,84.3333333333333,50.3333333333333,74.1428571428571,74.25,70.75,25.093023255814,84,37.25,77,35.6666666666667,32,75,83.6666666666667,63.75,32.5,85.5,67.25,12.6296296296296
"59","Social Sciences and Humanities Research Council of Canada","Male",31,22,47,50,65.2,79.4545454545455,74.3333333333333,57,76.8333333333333,33,67.2857142857143,70,59.75,41.3333333333333,70.3333333333333,31.5,81,27.7777777777778,12.5,71.3333333333333,72.3333333333333,61.75,NA,83,62.75,13.8888888888889
"60","Statistical Survey Operations","Male",20,35,45,278,57,73.0909090909091,72.3333333333333,22.8571428571429,73.5,51.8333333333333,68.5714285714286,48.75,61.5,37,64.6666666666667,30.375,74,25.2222222222222,31.3333333333333,65.6666666666667,80.6666666666667,61.25,27.5,86.5,60.5,11.9259259259259
"61","Statistics Canada","Male",25,42,33,1674,77,81.8181818181818,63,26.0909090909091,87.3333333333333,53.6666666666667,79.4285714285714,78.25,73,34.6086956521739,85,38.125,84,29.1111111111111,26,79.3333333333333,80.3333333333333,70.5,46.5,89,71.75,12.1111111111111
"62","Supreme Court of Canada","Male",25,46,29,40,70.4,74,80.3333333333333,63.5,86.1666666666667,37.3333333333333,83,77.25,68.75,57,81.3333333333333,35.25,91.5,30.2222222222222,18.5,76,80.3333333333333,81.5,NA,91.5,67.5,17.2962962962963
"63","Transport Canada","Male",22,44,34,2086,74.6,80.6363636363636,62,19.7894736842105,82,48.8333333333333,77.7142857142857,72.75,67.25,24.9772727272727,80.3333333333333,35.25,75.5,31.3333333333333,32.6666666666667,72,84.3333333333333,65,20.5,83.5,69.5,13.0740740740741
"64","Transportation Safety Board of Canada","Male",18,55,27,112,81,88.0909090909091,80.6666666666667,72.5,81.5,35,80.5714285714286,70,68.5,43.3333333333333,83.3333333333333,31.75,86,26,31.3333333333333,78,86.3333333333333,68.5,33,93,70.75,9.92592592592593
"65","Treasury Board of Canada Secretariat","Male",38,30,32,655,77.2,78.8181818181818,65.75,32.4117647058824,86.8333333333333,53.6666666666667,79.1428571428571,80.25,72.75,38.0434782608696,88.6666666666667,38.5,81.5,32.8888888888889,28.6666666666667,78.3333333333333,75.3333333333333,71.25,25.5,84,66.25,13.8148148148148
"66","Veterans Affairs Canada","Male",23,43,35,541,81,84.7272727272727,84.6666666666667,25.3333333333333,87.5,59,81.1428571428571,76.75,76.75,38.55,85,39,84.5,28.6666666666667,31.3333333333333,79.3333333333333,84,73.75,43,88,69,11.3333333333333
"67","Western Economic Diversification Canada","Male",26,36,37,129,85.8,89.5454545454545,87,86,92.6666666666667,35.3333333333333,88.4285714285714,85,86,60,89.3333333333333,40.875,90,28,5.5,84.6666666666667,88.3333333333333,85.25,NA,80.5,72.5,13.4814814814815
"68","Women and Gender Equality Canada","Male",46,19,35,41,68.8,78.2727272727273,86.6666666666667,67.5,87,35.3333333333333,66.5714285714286,76.5,65.75,66.5,85.3333333333333,36.125,77,41.6666666666667,33.6666666666667,69.3333333333333,78.6666666666667,67.25,48,82.5,64.25,17.8518518518519
