"","dept_e","DisabilityStatus","Yes","No","Notsure","anscount","Q118","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Use of official languages","Work-life balance and workload","Work-related stress","Support to resolve pay or other compensation issues"
"11","Canadian Heritage","Person with a disability",32,38,31,97,"1",64.8,76.1818181818182,74.6666666666667,29,76.1666666666667,68.1666666666667,73.2857142857143,68.75,59.5,42,78.3333333333333,36.625,76.5,39,36.6666666666667,71,68.3333333333333,65.25,84.5,67,24.8888888888889,36.5
"12","Canadian Human Rights Commission","Person with a disability",22,60,17,38,"1",73.75,79.1111111111111,79.6666666666667,67.5,80.5,73.1666666666667,81.8571428571429,73.5,59.75,42,83,36,85,35.6666666666667,29.5,77.6666666666667,55,66.25,74.5,64.5,24.8148148148148,NA
"13","Canadian Institutes of Health Research","Person with a disability",25,44,31,23,"1",78,80.5555555555556,69,74,81.1666666666667,43.6666666666667,81,72.75,59.5,73,85,34,85.5,39.2222222222222,13.5,78.6666666666667,81.3333333333333,57.75,67,65.25,16.962962962963,NA
"14","Canadian Nuclear Safety Commission","Person with a disability",21,33,46,52,"1",65.75,84.1111111111111,77,21,76.3333333333333,68.5,72.7142857142857,71,57.25,36.3181818181818,84.3333333333333,33.125,81.5,33.6666666666667,14.5,73.3333333333333,79,55.25,81.5,65.75,18.5185185185185,NA
"15","Canadian Radio-television and TeleCommunications Commission","Person with a disability",28,40,32,36,"1",74.75,80.5555555555556,67.6666666666667,50,76.5,67.8333333333333,74,78.5,57.25,26.9285714285714,83,40.375,81,27.5555555555556,42.6666666666667,75.6666666666667,76.3333333333333,70.75,90,65.75,17.5185185185185,50.5
"16","Canadian Space Agency","Person with a disability",30,31,39,34,"1",79.25,84.2222222222222,78.6666666666667,48,78,65.3333333333333,85.7142857142857,78.25,69.75,45.6666666666667,84,38.5,90,36.4444444444444,24.5,75.3333333333333,63.6666666666667,69,94.5,71.5,17.1851851851852,NA
"17","Canadian Transportation Agency","Person with a disability",14,57,29,21,"1",78,89.3333333333333,82,65.5,83.6666666666667,71.8,76.1428571428571,79,61,49,89.6666666666667,40,85.5,29.1111111111111,15,80.3333333333333,81.3333333333333,69,87.5,68.75,17.9259259259259,NA
"18","Communications Security Establishment Canada","Person with a disability",32,45,23,124,"1",76.4,81.4545454545455,75.3333333333333,25.2857142857143,81,67.3333333333333,78.1428571428571,74.75,70,34.9047619047619,81.6666666666667,38.75,81.5,32.1111111111111,24.6666666666667,72.6666666666667,76.3333333333333,59.5,84,73,18.7777777777778,26
"19","Correctional Service Canada","Person with a disability",23,36,42,1029,"1",46.4,52.3636363636364,42,20.0425531914894,50.3333333333333,59.6666666666667,49.5714285714286,43,37.5,26.7916666666667,60.6666666666667,33.375,58.5,43.4444444444444,40.6666666666667,51,56.6666666666667,35,72,52.5,29.7777777777778,17
"20","Courts Administration Service","Person with a disability",34,31,35,35,"1",57.5,62.4444444444444,51.6666666666667,16.3636363636364,55,64.3333333333333,60.8571428571429,63.25,45,32.6666666666667,72.3333333333333,37.875,62.5,31.1111111111111,26,68.6666666666667,66,47.25,89.5,60.25,28.7037037037037,NA
"21","Crown-Indigenous Relations and Northern Affairs Canada","Person with a disability",49,21,30,111,"1",68.4,75.7272727272727,67.6666666666667,39.6363636363636,70.3333333333333,67,60.1428571428571,63,49.75,39.4545454545455,75,33.5,71,42,33.6666666666667,65,74,55.75,81,66.25,22.6666666666667,21.5
"22","Department of Finance Canada","Person with a disability",32,36,33,43,"1",62.25,78.7777777777778,69.6666666666667,34,75.6666666666667,64.6666666666667,76.4285714285714,71,60.5,36.3333333333333,83,37.625,77,26.6666666666667,34,69.3333333333333,79.6666666666667,74,78.5,65.25,18.4074074074074,33.5
"23","Department of Justice","Person with a disability",27,38,36,263,"1",64,78,69.6666666666667,24.8421052631579,73,64.8333333333333,70.4285714285714,61.75,57.25,33.4857142857143,74.3333333333333,37.375,76,36.1111111111111,35.3333333333333,68,68,62.5,84.5,60.5,23.8888888888889,21.5
"24","Department of National Defence","Person with a disability",26,40,34,1484,"1",64,68.9090909090909,54,18.9333333333333,66.8333333333333,60.6666666666667,67.4285714285714,62.25,56.5,25.063829787234,68.3333333333333,32.5,69.5,36.8888888888889,35.3333333333333,61,72.3333333333333,52.5,77.5,66.75,18.6666666666667,26
"25","Employment and Social Development Canada","Person with a disability",31,32,37,1992,"1",67.8,75,54.25,19.7826086956522,73.1666666666667,67.1666666666667,67.7142857142857,58,61,25.3829787234043,71.3333333333333,37.5,75,36.3333333333333,37,65.3333333333333,77.6666666666667,60.25,85,62.5,21.6666666666667,24.5
"26","Environment and Climate Change Canada","Person with a disability",32,35,33,297,"1",70.8,77.0909090909091,75.6666666666667,24.90625,77.6666666666667,64.3333333333333,73.7142857142857,68,67,33.2222222222222,78.3333333333333,36.125,77.5,38.3333333333333,36.6666666666667,71.6666666666667,73,64.25,85,68.75,20.7037037037037,21.5
"27","Federal Economic Development Agency for Southern Ontario","Person with a disability",35,39,26,23,"1",71.5,86.3333333333333,74,61.6666666666667,83.6666666666667,46.3333333333333,75.1428571428571,82.5,68.75,86,84,35.875,83,32.7777777777778,33.5,76.3333333333333,89,66,76,67,23.5555555555556,NA
"28","Financial Consumer Agency of Canada","Person with a disability",47,33,20,15,"1",68.5,73.7777777777778,71.6666666666667,42.5,81.5,34.6666666666667,71.2857142857143,70,60.5,36,75.6666666666667,36.125,75.5,32.1111111111111,36.5,68,78.3333333333333,73,90,69,27.7407407407407,NA
"29","Fisheries and Oceans Canada","Person with a disability",27,36,37,441,"1",63.4,69.5454545454545,69,24.2058823529412,68.1666666666667,63.3333333333333,68.5714285714286,63.25,51.25,27.9777777777778,73,35.375,69.5,37.1111111111111,36,64,70,48.5,80,62.25,21.9259259259259,25.5
"30","Global Affairs Canada","Person with a disability",40,26,33,303,"1",60.8,70.4545454545455,55.75,23.3055555555556,68.1666666666667,62.3333333333333,64,61.75,55.75,32.6388888888889,73,33.25,72.5,41,33.3333333333333,62.3333333333333,64,51,80,60.75,24.1111111111111,25
"31","Health Canada","Person with a disability",30,32,38,393,"1",69.4,76.7272727272727,56,23.2972972972973,73.3333333333333,66.6666666666667,69.2857142857143,65.5,58.75,26.5227272727273,75.3333333333333,36.375,77.5,37.5555555555556,36.6666666666667,69.3333333333333,72.3333333333333,62.5,86,66.25,22.2962962962963,29.5
"32","Immigration and Refugee Board of Canada","Person with a disability",22,32,46,74,"1",68.4,77.0909090909091,68.3333333333333,30.4444444444444,74.6666666666667,66,72.8571428571429,68.75,58,39.6666666666667,76.3333333333333,36.625,82,28.3333333333333,33,67.6666666666667,78,55.75,85.5,58.25,19.1111111111111,27
"33","Immigration, Refugees and Citizenship Canada","Person with a disability",26,36,38,417,"1",64.4,73.6363636363636,57.5,26.9047619047619,74.1666666666667,63.5,72.4285714285714,63.25,59,31.2692307692308,72,36.25,78.5,35.3333333333333,35,69,74.3333333333333,57.25,83.5,60.25,20.2962962962963,23.5
"34","Impact Assessment Agency of Canada","Person with a disability",46,31,23,34,"1",79.75,78.2222222222222,76,48,79,62,81.7142857142857,78.25,59.5,47,87.6666666666667,41.875,83.5,38.3333333333333,25.5,80,69.3333333333333,68,90,74.25,19.1111111111111,NA
"35","Indigenous Services Canada","Person with a disability",30,25,45,318,"1",68,75.3636363636364,48.5,26.8055555555556,69.1666666666667,65.3333333333333,66.2857142857143,63.25,54,30.95,70.3333333333333,35.375,72.5,38.2222222222222,32.3333333333333,66,69.3333333333333,58.75,77.5,61.25,21.037037037037,24.5
"36","Infrastructure Canada","Person with a disability",39,33,28,39,"1",77.8,83.2727272727273,74.3333333333333,53.5,80,64.8333333333333,76,75.75,62.75,45.3333333333333,89.3333333333333,41.75,87,38.8888888888889,36,88,93,66.75,93.5,63,17.7777777777778,23.5
"37","Innovation, Science and Economic Development Canada","Person with a disability",34,29,37,278,"1",69,74.1818181818182,73,25.5789473684211,74.5,63.6666666666667,70.5714285714286,67.5,58,34.2608695652174,73,35.5,76,35.3333333333333,35.3333333333333,68.3333333333333,74,59.25,83.5,66,19.4814814814815,30.5
"38","Library and Archives Canada","Person with a disability",21,57,22,48,"1",67.25,78.4444444444444,74,20.4285714285714,75.1666666666667,60.3333333333333,73.8571428571429,66,57.25,29,78,36.125,78,29.5555555555556,16,76.6666666666667,80.3333333333333,63.25,87.5,68,19.5925925925926,NA
"39","Micro-organizations combined","Person with a disability",29,43,28,79,"1",67.2,81.7272727272727,67,20.3636363636364,74.6666666666667,66.1666666666667,72.8571428571429,72.75,62.25,39.3333333333333,75.3333333333333,34.875,81,32.4444444444444,24.3333333333333,72,78.6666666666667,61,85.5,68.25,18.037037037037,43
"40","National Film Board of Canada","Person with a disability",16,77,7,11,"1",72.75,92.3333333333333,84.6666666666667,81.5,79.8333333333333,40.3333333333333,82,73,56.25,64,84.6666666666667,29,70.5,31.6666666666667,4.5,79.3333333333333,75.3333333333333,59.5,88.5,69.5,9.53846153846154,NA
"41","National Research Council Canada","Person with a disability",19,52,30,151,"1",72.6,80.3636363636364,69.3333333333333,34.6428571428571,79.3333333333333,64.1666666666667,79,75.5,62,31.75,79.3333333333333,33.375,81,33.3333333333333,26.3333333333333,70,77.6666666666667,71,79,62.5,18.2222222222222,46
"42","Natural Resources Canada","Person with a disability",33,32,35,204,"1",68.4,77,70,26.6315789473684,74.5,65,70.7142857142857,64.75,56.75,34.875,76.3333333333333,34,74,34.3333333333333,32,66.3333333333333,72,54,82.5,66.25,19.7037037037037,19.5
"43","Natural Sciences and Engineering Research Council of Canada","Person with a disability",22,28,50,40,"1",78.2,82.7272727272727,76.3333333333333,73,83,59.8,75.5714285714286,77,60.5,47.6666666666667,84.3333333333333,39.625,79,27.4444444444444,9.5,73,72,74.75,91.5,71.75,17.1111111111111,NA
"44","Office of the Auditor General of Canada","Person with a disability",16,28,56,30,"1",73.25,83.6666666666667,66.6666666666667,49.5,86,67.6666666666667,82.2857142857143,76.75,66.75,39.3333333333333,81.6666666666667,37.375,85.5,22.5555555555556,20.5,76.6666666666667,78.3333333333333,66.5,82.5,80.5,14,NA
"45","Office of the Chief Electoral Officer","Person with a disability",32,41,27,46,"1",72.4,81,76,46.3333333333333,82.8333333333333,57.4,72,69.25,75,47,81.3333333333333,43.5,81.5,26.4444444444444,39.6666666666667,76.6666666666667,83,68.5,92,65.75,15.037037037037,47
"46","Office of the Secretary to the Governor General","Person with a disability",20,11,69,10,"1",36.75,58.5,40.3333333333333,29,44.8,59.3333333333333,39,44.25,31.5,33,52.3333333333333,30.75,47,44.7777777777778,18,44.6666666666667,61.6666666666667,27.25,94.5,71.75,25.8461538461538,NA
"47","Parks Canada","Person with a disability",32,34,35,210,"1",65.8,70,73.6666666666667,26.551724137931,72.1666666666667,60.6666666666667,73,66.25,59.25,28.4,76.6666666666667,35.875,73.5,35,35.6666666666667,67,72,58.25,79.5,62.25,21.7407407407407,16
"48","Privy Council Office","Person with a disability",48,24,28,51,"1",66.6,73.1818181818182,75,44.3333333333333,72.5,60,72,72.25,58.75,40.6666666666667,75,31.375,73,25.6666666666667,34.3333333333333,67.3333333333333,70.3333333333333,70,82.5,64.75,15.9259259259259,36.5
"49","Public Health Agency of Canada","Person with a disability",33,35,32,112,"1",66,74.7272727272727,68.6666666666667,26.9333333333333,73.6666666666667,68.6666666666667,70.5714285714286,64.25,55.5,38.5789473684211,73,37.25,75.5,39.3333333333333,29.6666666666667,67,72,59.75,83.5,62.5,21.7037037037037,12.5
"50","Public Prosecution Service of Canada","Person with a disability",19,40,42,57,"1",61,70,63,12.25,62.5,68.5,61.4285714285714,51.5,48.75,34.5555555555556,70.3333333333333,35.375,73.5,36.8888888888889,27,62,59.6666666666667,57.75,82,64.75,26.6666666666667,23.5
"51","Public Safety Canada","Person with a disability",46,22,33,79,"1",57.8,75.0909090909091,65.3333333333333,30.7857142857143,67.5,66,65,63,49.5,45.2,78,34.875,70,46.4444444444444,32,68.3333333333333,73.3333333333333,52.5,81,60.5,24.037037037037,19.5
"52","Public Service","Person with a disability",28,36,36,16623,"1",65.2,72.5454545454545,54.25,18.4897959183673,70.3333333333333,64.3333333333333,67.4285714285714,61.5,57,25.3333333333333,72,35.5,73.5,36.2222222222222,34,65.3333333333333,73,56,82,64,21.0740740740741,26
"53","Public Service Commission of Canada","Person with a disability",44,25,30,84,"1",69.8,78.2727272727273,73.3333333333333,28.8,75,67.1666666666667,61.2857142857143,65.5,66.75,33.5,78,35.625,77,40.8888888888889,30.3333333333333,69.6666666666667,69,55.75,87.5,66.75,22.0740740740741,22
"54","Public Services and Procurement Canada","Person with a disability",28,36,36,830,"1",70,77.7272727272727,58.5,21.05,75.5,66.8333333333333,70,64.75,60.25,25.8478260869565,75.3333333333333,36.5,75.5,35.6666666666667,32.3333333333333,68.3333333333333,81.3333333333333,62.75,88.5,68.75,18.7407407407407,28
"55","Royal Canadian Mounted Police","Person with a disability",33,30,37,329,"1",58.8,64.9090909090909,63,23.1666666666667,60.1666666666667,58,62.7142857142857,56.75,48.5,29.6829268292683,64.6666666666667,33.625,68.5,37.1111111111111,40.3333333333333,59.3333333333333,67.6666666666667,46.25,73.5,63,24.2222222222222,26
"56","Shared Services Canada","Person with a disability",30,33,37,398,"1",69.6,77.8181818181818,60,25,74.1666666666667,63.5,67.4285714285714,66.75,61.75,29.675,77.3333333333333,37.875,72.5,38.2222222222222,37,67.6666666666667,76.3333333333333,60.75,85.5,63,18.8148148148148,27.5
"57","Social Sciences and Humanities Research Council of Canada","Person with a disability",41,19,40,27,"1",57.5,70.8888888888889,60,47.5,72.1666666666667,71.6666666666667,66.1428571428571,66,49,38,75,36.75,81,37.8888888888889,13,75,65,56,92,69,23,NA
"58","Statistical Survey Operations","Person with a disability",16,42,43,116,"1",56.25,70.6666666666667,66.3333333333333,19.4285714285714,66.3333333333333,63,62,39.25,49,35.2,55.3333333333333,31,73,28.6666666666667,20.6666666666667,57.6666666666667,73,51.5,88.5,58.75,19.3333333333333,5
"59","Statistics Canada","Person with a disability",27,42,32,318,"1",69.2,78.6363636363636,71.3333333333333,30,79,66.5,72,69.75,63.25,36.3478260869565,78,37.75,80,34,25.6666666666667,72.3333333333333,74.6666666666667,65,88,69.25,18.8148148148148,39
"60","Supreme Court of Canada","Person with a disability",16,64,20,14,"1",68,74.7777777777778,66.6666666666667,51,78,51,89.5714285714286,81,66.25,43,72.6666666666667,33.25,87,29.2222222222222,13.5,75.6666666666667,72.3333333333333,68.75,95,68.75,20.7777777777778,NA
"61","Transport Canada","Person with a disability",31,35,34,286,"1",64.4,76.8181818181818,72,21.1304347826087,72.5,61,69.8571428571429,66.75,56.75,32.0740740740741,73,35.375,69.5,34.7777777777778,40.3333333333333,67,78.3333333333333,60,84.5,66,18.4074074074074,22.5
"62","Treasury Board of Canada Secretariat","Person with a disability",42,24,34,184,"1",73.8,78,63.75,29.3125,77.5,65.3333333333333,71.5714285714286,68.75,63,37.304347826087,82,37.125,76.5,41.5555555555556,27,71.6666666666667,70,63,84.5,64.75,22.6296296296296,27.5
"63","Veterans Affairs Canada","Person with a disability",30,37,33,295,"1",74.6,81,76.6666666666667,23.4117647058824,77,67.8333333333333,73.4285714285714,66.75,65.25,35.8,79,37.25,82,37.7777777777778,38.6666666666667,70.6666666666667,74,64.75,87,67,20.5185185185185,37
"64","Western Economic Diversification Canada","Person with a disability",17,42,41,12,"1",95.75,93.3333333333333,76,76.5,97,47.6666666666667,98.7142857142857,96,82.5,59.3333333333333,92,38.75,91,27.4444444444444,16.5,91.6666666666667,82.6666666666667,70.5,77,70.75,12.0740740740741,NA
"65","Women and Gender Equality Canada","Person with a disability",32,20,49,15,"1",51.75,66.2222222222222,69.3333333333333,69,71.5,43,61.4285714285714,67,54.75,52.6666666666667,59,31,70,53.5555555555556,27.5,52,63.3333333333333,55.25,83,54.75,26.7037037037037,NA
